Date	Gain	Strongly Approve	Strongly Disapprove	Total Approval	Total Disapproval	President	Events
16-Feb	+2.	38.	36.	55.	45.	Trump	President Trump holds a 75-minute long press conference;Alexander Acosta is nominated to be Secretary of Labor;Mick Mulvaney is sworn in as the director of the Office of Management and Budget.;Robert Harward, former Vice Admiral, rejects President Trump's offer to replace Mike Flynn as National Security Advisor.;President Trump signs legislation undoing a midnight regulation by the Obama administration regulating coal mining.
15-Feb	-1.	37.	38.	53.	47.	Trump	Bilateral meeting and joint press conference at the White House with Israeli Prime Minister Benjamin Netanyahu;President Trump's comments on the Israeli–Palestinian conflict prompts United Nations Secretary-General António Guterres to warn against any abandonment of the two-state solution.;Andy Puzder withdraws his nomination to be Secretary of Labor.;Chief of Staff Reince Priebus asks FBI Deputy Director Andrew G. McCabe to publicly dispute reports that associates of Trump had been in regular communication with Russian agents, and is rebuffed;
14-Feb	-3.	36.	39.	52.	48.	Trump	The Senate confirms Linda McMahon as Administrator of the Small Business Administration.;President Trump discusses drug policy with Governor of New Jersey Chris Christie
13-Feb	-3.	37.	40.	52.	48.	Trump	02/11" Prime Minister Shinzō Abe at Mar-a-Lago discuss the "future of the world, future of the region, and future of Japan and the United States".;North Korean Pukguksong-2 missile was test-launched during the meeting and isdiscussed at the restaurant.;Michael Flynn resigns as National Security Advisor, following alleged discussions with Russian ambassador Sergey Kislyak regarding the U.S. sanctions on Russia.;Bilateral meeting and joint press conference with Canadian Prime Minister Justin Trudeau at the White House.;The Senate confirms Steve Mnuchin as the Secretary of the Treasury.;
10-Feb	-2.	38.	40.	52.	48.	Trump	Trip to Mar-a-Lago
9-Feb	-1.	38.	39.	53.	47.	Trump	EO changes the line of succession for the Department of Justice;EO "Task Force on Crime Reduction and Public Safety";EO "Preventing Violence Against Federal, State, Tribal, and Local Law Enforcement Officers";EO	"Enforcing Federal Law with Respect to Transnational Criminal Organizations and Preventing International Trafficking".;The appeal of the Trump administration is denied;President Trump agrees to continue the One China Policy after a discussion with Chinese President Xi Jinping.
8-Feb	-2.	37.	39.	53.	47.	Trump	Senate confirms Jeff Sessions as United States Attorney General by a vote of 52–47.
7-Feb	+0.	37.	37.	53.	47.	Trump	Senate confirms Betsy DeVos as United States Secretary of Education by a vote of 51–50. Vice President Mike Pence cast the tie-breaking vote to confirm a Cabinet nominee, firsttime simce 1945.
6-Feb	+1.	39.	38.	53.	47.	Trump	02/04: The DoJ appeals judge's temporary block of Executive Order 13769;02/05 The United States Court of Appeals for the Ninth Circuit denies a request from the Trump Administration to immediately reinstate the temporarily-blocked travel ban.
3-Feb	+3.	41.	38.	54.	46.	Trump	Judge James Robart of the United States District Court for the Western District of Washington temporarily blocks immigration ban.;EO instates review of Dodd–Frank Wall Street Reform and Consumer Protection Act.;Economic sanctions on 13 Iranian individuals and 12 companies
2-Feb	+0.	40.	40.	53.	47.	Trump	National Prayer Breakfast: Trump suggest praying for Swartzenegger TV ratings. 
1-Feb	+0.	38.	38.	53.	47.	Trump	The Senate confirms Rex Tillerson as the Secretary of State.;President Trump discusses refugee policy in a truncated phone call with Australian Prime Minister Malcolm Turnbull.President Trump proclaims February as National African American History Month;Controversial comments aout MLK'statue in the Oval office and Frederick Douglass being recognized more and more.
31-Jan	-6.	35.	41.	51.	49.	Trump	Nomination of Neil Gorsuch as an Associate Justice of the Supreme Court 
30-Jan	-1.	36.	37.	53.	47.	Trump	01/28: Brooklyn judge Ann M. Donnelly of the US District Cour issuesatemporary state on trump'stravel ban;01/29:Raid in Yemen, William “Ryan” Owens who was killed in action,30 people dead including children.;President Trump relieves acting Attorney General Sally Yates of her duties and instates Dana Boente following her declaration that the DOJ should not defend the immigration ban.;EO imposes to cut 2 regulations for every newly introduced regulation
27-Jan	+4.	40.	36.	55.	45.	Trump	EO suspends the Refugee Admissions Program for 120 days and denies entry to citizens of Iraq, Iran, Libya, Somalia, Sudan, Syria and Yemen for 90 days
26-Jan	+13.	44.	31.	59.	41.	Trump	Press Secretary Sean Spicer announces that the border wall might be funded by a 20% tax on imports from Mexico.;Mexican President Enrique Peña Nieto cancels a proposed meeting with Trump.;Trump Meets British Prime Minister Theresa May
25-Jan	+9.	42.	33.	57.	43.	Trump	EO directs the Department of Homeland Security to begin construction of a wall on the Mexico–United States border.;EO revokes federal funds from Sanctuary cities who refuse to comply will not be eligible to receive Federal grants
24-Jan	+9.	42.	33.	57.	43.	Trump	EO Expediting Environmental Reviews and Approvals for High Priority Infrastructure Projects;Keystone XL and Dakota Access halt revoked.;Senate comfirms Nikki Haley as the United States Ambassador to the United Nations.
23-Jan	+4.	39.	35.	55.	44.	Trump	01/21: Four million people around the world attend the Women's March;EO withdraws the United States from the Trans-Pacific Partnership;EO reinstated the Mexico City Policy dealing with NGOs and abortion access;EO initiated a 90-day hiring freeze on the federal workforce hiring.;Trump says 3 to 5 million illegal votes cost him the popular vote.;Senate confirms Mike Pompeo as the Director of the Central Intelligence Agency.
20-Jan	+2.	38.	36.	56.	44.	Trump	Inauguration
31-Mar	+11	38.	27.	59.	39.	O	-
30-Mar	+8	38.	30.	58.	40.	O	-
29-Mar	+7	37.	30.	58.	41.	O	-
28-Mar	+4	35.	31.	56.	43.	O	-
27-Mar	+5	35.	30.	56.	43.	O	-
26-Mar	+5	35.	30.	56.	43.	O	-
25-Mar	+5	36.	31.	56.	43.	O	-
24-Mar	+4	36.	32.	56.	43.	O	-
23-Mar	+5	36.	31.	56.	42.	O	-
22-Mar	+4	35.	31.	56.	43.	O	-
21-Mar	+4	36.	32.	55.	44.	O	-
20-Mar	+4	35.	31.	55.	43.	O	-
19-Mar	+7	37.	30.	56.	43.	O	-
18-Mar	+7	37.	30.	57.	42.	O	-
17-Mar	+5	37.	32.	56.	43.	Obama	-
16-Mar	+4	36.	32.	56.	43.	Obama	-
15-Mar	+6	37.	31.	56.	43.	Obama	-
14-Mar	+8	37.	29.	57.	41.	Obama	-
13-Mar	+9	38.	29.	57.	42.	Obama	-
12-Mar	+9	37.	28.	58.	41.	Obama	-
11-Mar	+6	37.	31.	56.	43.	Obama	-
10-Mar	+6	38.	32.	56.	43.	Obama	-
09-Mar	+6	38.	32.	56.	43.	Obama	-
08-Mar	+8	39.	31.	56.	43.	Obama	-
07-Mar	+8	39.	31.	56.	43.	Obama	-
06-Mar	+15	42.	27.	58.	40.	Obama	-
05-Mar	+14	41.	27.	59.	40.	Obama	-
04-Mar	+16	42.	26.	60.	38.	Obama	-
03-Mar	+13	40.	27.	60.	39.	Obama	-
02-Mar	+10	39.	29.	58.	41.	Obama	-
01-Mar	+8	38.	30.	58.	40.	Obama	-
28-Feb	+10	39.	29.	59.	39.	Obama	-
27-Feb	+15	41.	26.	60.	40.	Obama	-
26-Feb	+16	41.	25.	60.	40.	Obama	-
25-Feb	+14	39.	25.	59.	40.	Obama	-
24-Feb	+14	39.	25.	60.	39.	Obama	-
23-Feb	+11	38.	27.	58.	40.	Obama	-
22-Feb	+11	38.	27.	58.	41.	Obama	-
21-Feb	+10	38.	28.	57.	41.	Obama	-
20-Feb	+12	38.	26.	59.	40.	Obama	-
19-Feb	+13	38.	25.	60.	39.	Obama	-
18-Feb	+14	38.	24.	61.	38.	Obama	-
17-Feb	+15	38.	23.	61.	37.	Obama	-
16-Feb	+10	36.	26.	60.	39.	Obama	-
15-Feb	+11	37.	26.	60.	39.	Obama	-
14-Feb	+13	39.	26.	60.	39.	Obama	-
13-Feb	+17	41.	24.	60.	38.	Obama	-
12-Feb	+19	43.	24.	61.	37.	Obama	-
11-Feb	+19	42.	23.	60.	38.	Obama	-
10-Feb	+15	39.	24.	60.	38.	Obama	-
09-Feb	+14	38.	24.	60.	38.	Obama	-
08-Feb	+11	36.	25.	59.	39.	Obama	-
07-Feb	+14	37.	23.	60.	38.	Obama	-
06-Feb	+17	38.	21.	61.	36.	Obama	-
05-Feb	+19	39.	20.	62.	36.	Obama	-
04-Feb	+18	39.	21.	62.	36.	Obama	-
03-Feb	+15	37.	22.	61.	36.	Obama	-
02-Feb	+17	41.	24.	60.	38.	Obama	-
01-Feb	+21	44.	23.	63.	34.	Obama	-
31-Jan	+23	45.	22.	63.	34.	Obama	-
30-Jan	+21	43.	22.	63.	36.	Obama	-
29-Jan	+22	42.	20.	62.	36.	Obama	-
28-Jan	+22	42.	20.	62.	36.	Obama	-
27-Jan	+23	42.	19.	62.	36.	Obama	-
26-Jan	+21	41.	20.	60.	37.	Obama	-
25-Jan	+22	42.	20.	60.	36.	Obama	-
24-Jan	+26	44.	18.	61.	33.	Obama	-
23-Jan	+29	45.	16.	62.	29.	Obama	-
22-Jan	+30	44.	14.	64.	29.	Obama	-
21-Jan	+28	44.	16.	65.	30.	Obama	-
20-Jan	+25	41.	16.	67.	32.	Obama	-
